+-----------------------------------------------+---------+--------------------------+
| Workspace                                     | Version | Latest Change            |
+-----------------------------------------------+---------+--------------------------+
| tfe-dev-test                                  |   1.2.3 | 2021-11-10T20:47:42.762Z |
| tfe-prod-test                                 |   1.2.3 | 2021-11-10T20:47:43.331Z |
| Terraform-Workspaces                          | 0.12.31 | 2022-01-13T14:16:25.547Z |
| dev-coreexp                                   |   1.2.3 | 2022-04-15T21:14:00.134Z |
| prod-in-kubernetes                            |   1.2.3 | 2022-04-18T16:00:37.202Z |
| ns1-preprod-clover-com                        |   1.2.3 | 2022-04-19T20:30:45.270Z |
| terraform-env-template                        |   1.2.3 | 2022-07-12T19:55:24.069Z |
| dev5                                          |   1.2.3 | 2022-07-18T23:55:32.541Z |
| sandboxdev                                    |   1.2.3 | 2022-07-19T17:05:44.260Z |
| flexlm-corp                                   |   1.2.3 | 2022-07-19T21:06:25.779Z |
| rapidconnect-corp                             |   1.2.3 | 2022-07-19T21:15:45.323Z |
| feedback-db-dev                               |   1.2.3 | 2022-07-20T14:38:44.969Z |
| rombuild-jenkins-agents-corp                  |   1.2.3 | 2022-07-20T15:05:35.695Z |
| clover-org                                    |   1.2.3 | 2022-07-20T16:30:02.107Z |
| feedback-db-prod                              |   1.2.3 | 2022-07-20T18:48:29.944Z |
| delivery-infra-upgrade-tester                 |   1.2.3 | 2022-07-22T17:43:28.385Z |
| key-mgmt-plane                                |   1.2.3 | 2022-07-26T17:31:07.193Z |
| billing-sandbox-terraform                     |   1.2.3 | 2022-07-26T17:55:22.731Z |
| sandboxprod                                   |   1.2.3 | 2022-07-27T16:53:25.032Z |
| phabricator-corp                              |   1.2.3 | 2022-07-28T15:50:45.961Z |
| stg2                                          |   1.2.3 | 2022-08-01T15:46:41.001Z |
| clover-ce-prod-database                       |   1.2.3 | 2022-08-01T18:07:53.186Z |
| spring-boot-apps-euprod                       |   1.2.3 | 2022-08-02T15:35:27.758Z |
| spring-boot-apps-laprod                       |   1.2.3 | 2022-08-02T15:36:01.784Z |
| ns1-cloverstatic-com                          |   1.2.3 | 2022-08-03T22:32:44.700Z |
| daves-test                                    |   1.2.3 | 2022-08-08T13:59:03.808Z |
| workflow-test                                 |   1.2.3 | 2022-08-08T15:50:35.121Z |
| usprod-iad                                    |   1.2.3 | 2022-08-08T16:36:13.183Z |
| tfe-org-tests                                 |   1.2.3 | 2022-08-08T18:18:37.987Z |
| dev-container-registry-manager                |   1.2.3 | 2022-08-08T18:29:10.544Z |
| ci-container-registry-manager                 |   1.2.3 | 2022-08-09T15:53:05.228Z |
| gke-cluster-manager                           |   1.2.3 | 2022-08-09T21:40:02.523Z |
| laas-compute                                  |   1.2.3 | 2022-08-10T18:30:56.448Z |
| hardware-pdm-unmanaged                        |   1.2.3 | 2022-08-10T19:52:04.872Z |
| sentinel-testing                              |   1.2.3 | 2022-08-11T21:59:09.246Z |
| helpcenter                                    |   1.2.3 | 2022-08-11T22:06:24.161Z |
| clover-prod-in-springboot                     |   1.2.3 | 2022-08-18T18:04:20.611Z |
| metaresources-in                              |   1.2.3 | 2022-08-22T18:50:36.714Z |
| preprod-in-kubernetes                         |   1.2.3 | 2022-08-23T16:55:49.371Z |
| clover-prod-in-databases                      |   1.2.3 | 2022-08-24T15:13:40.296Z |
| clover-prod-in-app                            |   1.2.3 | 2022-08-25T21:02:39.326Z |
| ebb-sandbox                                   |   1.2.3 | 2022-08-31T22:20:44.108Z |
| dba-provision-test                            |   1.2.3 | 2022-09-13T19:50:51.572Z |
| laas-container-PR-26-head                     |   1.2.3 | 2022-09-19T17:01:18.524Z |
| corp-proxmox                                  |   1.2.3 | 2022-09-22T23:39:10.144Z |
| clover-preprod-in-app                         |   1.2.3 | 2022-09-23T09:17:14.141Z |
